,BVP,ACC,EDA,HR,EM1,EM2
501,13.24,55.0,0.097358,87.4,2,-2
502,-5.58,55.0,0.097358,87.27,2,-2
503,21.78,55.0,0.097358,87.1,2,-2
504,-16.98,55.0,0.098639,86.9,2,-2
505,-16.51,55.0,0.094796,86.7,2,-2
506,16.22,55.0,0.098639,86.43,2,-2
507,1.59,55.0,0.101201,86.15,2,-2
508,-0.79,54.0,0.101201,85.82,2,-2
509,3.05,54.0,0.101201,85.47,2,-2
510,14.35,55.0,0.101201,85.07,2,-2
511,15.42,54.0,0.101201,84.63,2,-2
512,-57.59,54.0,0.10248199999999999,84.2,2,-2
513,23.76,55.0,0.101201,83.78,2,-2
514,30.94,55.0,0.101201,83.42,2,-2
515,10.4,55.0,0.10248199999999999,83.05,2,-2
516,-26.26,55.0,0.096077,82.7,2,-2
517,-6.73,54.0,0.10248199999999999,82.35,2,-2
518,30.5,54.0,0.10248199999999999,82.0,2,-2
519,20.71,55.0,0.10248199999999999,81.65,2,-2
520,-18.48,52.0,0.101201,81.35,2,-2
521,-57.13,51.0,0.10248199999999999,81.08,2,-2
522,12.15,51.0,0.10248199999999999,80.85,2,-2
523,20.49,51.0,0.101201,80.62,2,-2
524,11.47,51.0,0.101201,80.37,2,-2
525,-33.51,51.0,0.10248199999999999,80.13,2,-2
526,-4.78,52.0,0.10248199999999999,79.9,2,-2
527,24.93,52.0,0.09992000000000001,79.57,2,-2
528,-10.58,32.0,0.10376300000000001,79.2,2,-2
529,9.18,33.0,0.10376300000000001,78.95,2,-2
530,10.03,33.0,0.10376300000000001,78.73,2,-2
531,-9.11,34.0,0.10504400000000001,78.57,2,-2
532,18.24,25.0,0.10376300000000001,78.5,2,-2
533,-7.95,26.0,0.10504400000000001,78.43,2,-2
534,-11.97,41.0,0.106325,78.38,2,-2
535,-10.08,40.0,0.10504400000000001,78.38,2,-2
536,-0.22,42.0,0.10504400000000001,78.47,2,-2
537,9.77,44.0,0.10376300000000001,78.57,2,-2
538,71.75,33.0,0.10376300000000001,78.7,2,-2
539,6.37,34.0,0.10504400000000001,78.83,2,-2
540,-14.43,57.0,0.10504400000000001,78.97,2,-2
541,-66.52,33.0,0.10248199999999999,79.1,2,-2
542,55.11,30.0,0.10248199999999999,79.27,2,-2
